"filename", "language", "vue", "SCSS", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\user.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 6, 38
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\__tests__\file.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 5, 21
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\__tests__\format.spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 6, 27
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\__tests__\storage.spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 6, 27
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\__tests__\validate.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 6, 26
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\constants.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 7, 59
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\file.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 7, 26
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\format.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 13, 48
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 1, 7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\payloadConverter.ts", "TypeScript", 0, 0, 102, 0, 0, 18, 10, 130
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\request.ts", "TypeScript", 0, 0, 57, 0, 0, 4, 11, 72
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\storage.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 5, 25
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\upload-db.ts", "TypeScript", 0, 0, 142, 0, 0, 53, 31, 226
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\utils\validate.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 5, 23
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\AuditLogView.vue", "vue", 159, 0, 0, 0, 0, 0, 18, 177
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\ChannelManageModal.vue", "vue", 126, 0, 0, 0, 0, 0, 20, 146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\ChannelManageView.vue", "vue", 182, 0, 0, 0, 0, 0, 20, 202
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\ChannelServerModal.vue", "vue", 149, 0, 0, 0, 0, 0, 27, 176
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\RegionManageModal.vue", "vue", 228, 0, 0, 0, 0, 3, 29, 260
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\RegionManageView.vue", "vue", 286, 0, 0, 0, 0, 9, 24, 319
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\SystemConfigView.vue", "vue", 305, 0, 0, 0, 0, 4, 19, 328
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\UIConfigView.vue", "vue", 822, 0, 0, 0, 0, 0, 75, 897
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\UserManageModal.vue", "vue", 213, 0, 0, 0, 0, 0, 23, 236
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\UserManageView.vue", "vue", 196, 0, 0, 0, 0, 0, 16, 212
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\audit-log.scss", "SCSS", 0, 34, 0, 0, 0, 0, 7, 41
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\channel-manage.scss", "SCSS", 0, 90, 0, 0, 0, 0, 18, 108
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\region-manage.scss", "SCSS", 0, 77, 0, 0, 0, 0, 13, 90
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\system-config.scss", "SCSS", 0, 43, 0, 0, 0, 0, 12, 55
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\ui-config.scss", "SCSS", 0, 48, 0, 0, 0, 0, 10, 58
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\admin\user-manage.scss", "SCSS", 0, 28, 0, 0, 0, 0, 5, 33
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\ApplicationDetailView.vue", "vue", 146, 0, 0, 0, 0, 0, 27, 173
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\ApplicationListView.vue", "vue", 338, 0, 0, 0, 0, 0, 57, 395
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\CreateApplicationView.vue", "vue", 204, 0, 0, 0, 0, 0, 33, 237
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\SelectTypeView.vue", "vue", 122, 0, 0, 0, 0, 3, 13, 138
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\application-detail.scss", "SCSS", 0, 132, 0, 0, 0, 0, 23, 155
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\application-list.scss", "SCSS", 0, 175, 0, 0, 0, 0, 37, 212
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\StepOneBasicInfo.vue", "vue", 257, 0, 0, 0, 0, 0, 36, 293
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\StepThreeSubmitSuccess.vue", "vue", 57, 0, 0, 0, 0, 0, 11, 68
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\components\StepTwoUploadFile.vue", "vue", 314, 0, 0, 0, 0, 2, 23, 339
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\create-application.scss", "SCSS", 0, 544, 0, 0, 0, 1, 117, 662
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\application\select-type.scss", "SCSS", 0, 167, 0, 0, 0, 16, 34, 217
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\applications\index.vue", "vue", 6, 0, 0, 0, 0, 0, 2, 8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\approvals\ApprovalDetailView.vue", "vue", 176, 0, 0, 0, 0, 0, 30, 206
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\approvals\ApprovalListView.vue", "vue", 219, 0, 0, 0, 0, 0, 30, 249
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\approvals\approval-detail.scss", "SCSS", 0, 158, 0, 0, 0, 0, 28, 186
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\approvals\approval-list.scss", "SCSS", 0, 101, 0, 0, 0, 0, 20, 121
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\views\auth\LoginView.vue", "vue", 114, 0, 0, 0, 0, 0, 13, 127
