"filename", "language", "vue", "SCSS", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "JavaScript", "Markdown", "YAML", "XML", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\7.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -1, -12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\13.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -1, -13
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\14.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\15.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -1, -12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\17.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\18.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\19.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -1, -12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\20.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\21.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\22.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -1, -12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\23.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\24.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\25.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -1, -12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\26.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\27.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\28.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3961_3234\29.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
